,trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
90,20220315,601155.SH,房地产开发,新城控股,21.76,-10.01,733877008.0,93435868.0,49189251152.64,49255634493.44,1.44,13477926.0,,142739,12,,1.0,D
91,20220315,601567.SH,电网设备,三星医疗,9.49,-9.96,120879870.0,45344007.0,13158540312.97,13295798994.4,0.88,230669966.0,,130020,1,,1.0,D
92,20220315,601600.SH,有色金属,中国铝业,5.42,-9.97,2259375536.0,89044995.0,70886591847.86,92262887096.32,3.1,7921378.0,,145524,1,,1.0,D
93,20220315,601666.SH,煤炭行业,平煤股份,11.88,-10.0,844249648.0,222367109.0,27255618185.4,27504765509.76,3.03,6406979.0,,145136,19,,1.0,D
94,20220315,601699.SH,煤炭行业,潞安环能,14.36,-10.03,879269632.0,32740800.0,42956636112.0,42956636112.0,1.99,15935191.0,,142833,0,,1.0,D
95,20220315,601717.SH,汽车零部件,郑煤机,11.71,-9.99,502724944.0,37124213.0,17494265393.7,20837870805.44,2.76,5672909.0,,145054,3,,1.0,D
96,20220315,601789.SH,工程建设,宁波建工,6.8,10.03,1743016448.0,,6637422506.0,6637422553.6,26.84,13706209.0,102655,145433,16,1/1,1.0,U
97,20220315,603002.SH,电子元件,宏昌电子,5.48,-10.02,72376804.0,14191556.0,3366976116.0,4953236096.0,2.06,2587108.0,,145646,1,,1.0,D
98,20220315,603018.SH,工程咨询,华设集团,8.55,4.91,530860544.0,,5716709139.6,5846327208.0,9.07,,95804,,23,0/0,,Z
99,20220315,603056.SH,物流行业,德邦股份,15.32,9.98,1249049520.0,,14707200000.0,15732988471.04,8.95,53420579.0,145128,145128,0,3/3,2.0,U
100,20220315,603066.SH,物流行业,音飞储存,7.95,-9.97,63393617.0,6401340.0,2390588055.0,2390588023.2,2.54,1206325.0,,145213,0,,1.0,D
101,20220315,603070.SH,电网设备,万控智造,18.05,9.99,38761238.0,,1083000000.0,7238050000.0,3.58,316625212.0,92503,92503,0,4/4,4.0,U
102,20220315,603078.SH,电子化学,江化微,29.37,10.0,679597312.0,,5755704718.17,5755704718.17,12.0,9134128.0,101032,144313,6,1/1,1.0,U
103,20220315,603122.SH,医疗器械,合富中国,17.16,-10.02,750640304.0,69470473.0,1707646512.0,6830583302.4,42.42,11287813.0,,150000,1,,1.0,D
104,20220315,603171.SH,互联网服,税友股份,33.12,-10.0,189561137.0,13599071.0,1344340800.0,13443076800.0,13.32,291456.0,,150000,4,,1.0,D
105,20220315,603177.SH,环保行业,德创环保,19.17,-10.0,98543510.0,50066289.0,3872340000.0,3872340000.0,2.5,8998398.0,,145114,10,,1.0,D
106,20220315,603233.SH,医药商业,大参林,30.69,-10.0,303929056.0,23886026.0,24201017835.39,24273629915.04,1.23,2231439.0,,142725,2,,1.0,D
107,20220315,603261.SH,航天航空,N立航,28.37,44.01,20710135.0,,546122500.0,2183406890.14,3.8,318999315.0,100001,100001,0,1/1,1.0,U
108,20220315,603316.SH,工程建设,诚邦股份,7.46,5.82,428068032.0,,1971409440.0,1971409440.0,21.51,,103117,,1,0/0,,Z
109,20220315,603320.SH,电机,迪贝电气,15.03,4.67,248426717.0,,1954052810.01,1954052810.01,12.29,,93943,,3,0/0,,Z
110,20220315,603359.SH,环保行业,东珠生态,10.79,-10.01,124334718.0,16717885.0,4813375840.0,4813375840.0,2.54,12699517.0,,104852,0,,1.0,D
111,20220315,603393.SH,燃气,新天然气,20.85,-10.01,460657872.0,18694110.0,7842268007.7,8838759688.8,5.67,1526637.0,,145613,3,,1.0,D
112,20220315,603396.SH,光伏设备,金辰股份,71.01,-10.0,578775424.0,41048323.0,8237151620.82,8257971752.82,6.81,18509892.0,,143615,1,,1.0,D
113,20220315,603399.SH,小金属,吉翔股份,20.43,-10.0,1179556160.0,2321521109.0,10379474759.07,10389138128.64,11.06,40144950.0,,144155,7,,1.0,D
114,20220315,603538.SH,化学制药,美诺华,55.0,10.0,248360640.0,,8226662235.0,8321694535.0,3.02,329359360.0,92505,92505,0,5/6,1.0,U
115,20220315,603559.SH,通信服务,中通国脉,13.86,10.0,353612528.0,,1986321049.02,1986321049.02,18.08,4340952.0,100813,145514,3,1/1,1.0,U
116,20220315,603589.SH,酿酒行业,口子窖,59.2,-10.0,1391596848.0,197633335.0,35520000000.0,35520000000.0,3.88,13382160.0,,133902,20,,1.0,D
