,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
62,002803.SZ,20260210,19.19,3.3059,3.6645,0.87,47.5085,32.879,3.3748,1.5632,1.2957,1.7269,1.7269,45040.5288,28877.0188,26051.7737,864327.7477,554149.9908,0
63,603077.SH,20260210,2.45,1.599,2.381,0.63,687.6683,,1.1916,2.5314,2.8246,,,883153.7228,883153.7228,593076.6879,2163726.6209,2163726.6209,0
64,000919.SZ,20260210,7.77,1.7234,2.957,0.84,119.5837,128.8646,1.2742,1.4726,1.4042,1.2907,1.2907,62192.4528,62176.6728,36237.6348,483235.3583,483112.7477,0
65,603629.SH,20260210,51.93,17.3185,33.3017,0.83,553.5087,72.5281,7.1758,6.0623,4.2324,0.2468,0.2468,26238.0,25685.2,13357.602,1362539.34,1333832.436,0
66,300581.SZ,20260210,15.85,1.7176,3.2955,0.97,,,9.1262,62.0464,57.8113,,,55010.9546,55010.9546,28671.0554,871923.6304,871923.6304,0
67,603733.SH,20260210,24.47,0.3138,1.5406,0.53,17.2519,17.9494,2.0902,1.6857,1.4343,2.0383,2.0383,70772.4088,70772.4088,14413.408,1731800.8433,1731800.8433,0
68,688660.SH,20260210,14.17,0.543,1.3923,0.52,,,4.3028,1.81,1.6336,,,133333.34,133333.34,52000.0098,1889333.4278,1889333.4278,0
69,603881.SH,20260210,41.9,21.6687,38.3822,1.68,227.7022,204.8213,9.1653,17.4948,16.9209,0.1428,0.1428,71837.6999,71837.6999,40556.1229,3009999.6258,3009999.6258,0
70,002025.SZ,20260210,51.79,2.4363,4.1383,0.65,67.9545,289.9299,3.6234,4.6939,4.3848,0.4441,0.4441,45542.5988,45387.67,26720.6945,2358651.1919,2350627.4293,0
71,002915.SZ,20260210,23.12,1.7791,2.5712,0.52,,,5.7591,5.3577,4.9015,,,32546.8375,28807.4875,19932.5771,752482.883,666029.111,0
72,000725.SZ,20260210,4.32,1.2319,1.4185,0.74,30.0627,24.1923,1.2097,0.8067,0.765,1.1692,1.1692,3704432.8064,3634166.3692,3156019.7505,16003149.7236,15699598.7149,0
73,600113.SH,20260210,58.54,0.7725,1.912,0.95,183.0278,170.843,9.7028,34.1245,33.4549,0.2051,0.2051,42117.666,41143.116,16623.7878,2465568.1676,2408518.0106,0
74,000543.SZ,20260210,7.89,1.4745,3.4821,1.31,8.6672,7.4932,1.0411,0.5943,0.6099,4.0431,4.0431,226686.3331,226686.3331,95991.878,1788555.1682,1788555.1682,0
75,603089.SH,20260210,14.01,1.7328,4.3205,1.42,47.0573,21.4694,2.2479,1.4602,1.2295,0.6746,0.6746,24003.3268,24003.3268,9626.8471,336286.6085,336286.6085,0
76,601860.SH,20260210,2.82,1.2413,1.6193,0.78,6.359,6.9933,0.5184,2.3133,2.4147,3.5461,3.5461,366100.4492,355158.8176,272256.3571,1032403.2667,1001547.8656,0
77,600131.SH,20260210,19.23,1.4359,3.453,0.8,33.766,31.3244,3.7359,3.1502,2.4897,0.8914,1.1514,119835.5044,119590.5149,49731.7834,2304436.7496,2299725.6015,0
78,920263.BJ,20260210,12.81,0.6261,1.0004,0.7,33.4623,60.6833,3.1236,5.3838,5.5625,1.1155,,14124.2896,10259.3737,6421.0753,180932.1498,131422.5771,0
79,002799.SZ,20260210,9.89,4.2206,7.8972,1.01,,,2.4917,2.2665,3.4857,,,32004.0,32003.58,17104.006,316519.56,316515.4062,0
80,603390.SH,20260210,13.13,1.2113,3.297,1.08,180.3029,72.3819,2.8574,6.9361,4.9653,0.6855,0.6855,35165.1984,35051.3953,12877.2673,461719.055,460224.8203,0
81,688612.SH,20260210,31.17,1.0413,1.1679,0.76,32.6502,23.4525,3.6033,2.0504,2.0603,1.15,1.15,41918.8098,25255.2631,22517.3322,1306609.3015,787206.5508,0
82,002628.SZ,20260210,4.61,2.2595,2.8473,0.76,,,1.2182,4.3064,4.2814,,,75710.0415,75378.4802,59815.7324,349023.2913,347494.7937,0
83,301584.SZ,20260210,29.41,3.2432,3.2432,0.81,54.2684,41.3491,5.9647,0.6913,0.6421,,,42128.8509,5042.3853,5042.3853,1239009.505,148296.5517,0
84,301132.SZ,20260210,36.62,2.9549,5.8419,1.21,50.9204,39.6237,2.9864,4.2777,3.4335,1.1442,1.1442,14808.6249,9473.4441,4791.8245,542291.8438,346917.5229,0
85,301314.SZ,20260210,48.31,10.6789,10.6789,0.61,149.1298,178.8484,2.5502,15.7397,15.4126,0.414,0.414,5525.0,1625.0,1625.0,266912.75,78503.75,0
86,688662.SH,20260210,57.7,7.8425,14.0226,1.41,114.468,127.6471,6.9687,9.8743,9.5189,0.6064,0.6064,8824.0,8824.0,4935.024,509144.8,509144.8,0
87,002576.SZ,20260210,18.6,4.5086,6.3501,2.0,46.1802,36.2456,2.351,1.8331,1.6799,0.4301,0.4301,16510.0,16202.7571,11504.0077,307086.0,301371.2821,0
88,600665.SH,20260210,3.63,1.2077,2.8426,0.95,,,1.181,0.292,0.2845,,,86412.2521,86412.2521,36712.1583,313676.4751,313676.4751,0
89,300629.SZ,20260210,25.65,5.2209,5.8562,0.8,53.6103,343.4753,3.7903,13.4173,18.6027,0.3877,0.3877,25142.3424,21683.4037,19331.2204,644901.0826,556179.3049,0
90,920690.BJ,20260210,32.58,0.9994,1.877,0.83,34.5546,30.2083,3.6959,7.5578,5.7847,1.2277,1.2277,6630.0,4309.908,2294.87,216005.4,140416.8026,0
91,600568.SH,20260210,2.68,1.0673,1.7401,1.11,,,3.1119,10.2436,9.3598,,,199286.9681,166906.7279,102374.4773,534089.0745,447310.0308,0
92,002601.SZ,20260210,21.05,0.9106,1.2248,0.89,23.1434,39.2286,2.1613,1.8242,1.9242,2.8358,2.8358,238424.8056,198760.2786,147770.204,5018842.1579,4183903.8645,0
93,300382.SZ,20260210,13.87,1.4778,2.2438,0.67,,,3.9085,5.9485,4.3628,,,64839.9994,64833.8222,42698.1442,899330.7917,899245.1139,0
94,600774.SH,20260210,10.05,1.9017,4.5658,0.6,,,1.7757,2.5226,2.8638,,,29503.2402,29484.2131,12280.2818,296507.564,296316.3417,0
95,301362.SZ,20260210,92.88,32.7404,32.7404,1.03,42.1603,50.2051,3.9013,5.9244,5.9262,2.0114,2.0114,10467.0,2967.0,2967.0,972174.96,275574.96,0
96,600318.SH,20260210,8.74,1.2173,1.5933,1.0,143.7992,119.6299,4.0994,14.2784,13.6233,0.2288,0.2288,51272.7632,51272.7632,39172.7725,448123.9504,448123.9504,0
97,603318.SH,20260210,7.13,1.2536,2.1915,0.74,31.8873,,2.3044,1.2638,1.2983,0.9537,0.9537,45907.0924,45907.0924,26259.4238,327317.5688,327317.5688,0
98,300110.SZ,20260210,3.35,1.8973,2.5449,0.97,,,2.922,2.9268,3.1537,,,118221.2982,118084.7607,88036.8184,396041.349,395583.9483,0
99,301129.SZ,20260210,26.76,1.7777,3.1534,0.83,47.393,52.4636,2.158,8.4972,7.7768,0.9127,0.9127,13589.74,6628.25,3736.55,363661.4424,177371.97,0
100,002171.SZ,20260210,12.82,2.1289,2.8217,0.8,90.5182,36.5787,2.3986,0.3871,0.353,,,162293.7872,161374.147,121753.4924,2080606.3519,2068816.5645,0
101,002775.SZ,20260210,4.48,2.4344,3.8443,0.87,,,8.0273,4.1016,4.7279,,,63624.8546,47143.0546,29853.1598,285039.3486,211200.8846,0
102,001227.SZ,20260210,2.34,1.2639,1.4217,0.62,7.06,7.0239,0.4421,1.697,1.7254,4.3179,4.3162,569569.7168,421750.0031,374940.4731,1332793.1373,986895.0073,0
103,301508.SZ,20260210,33.19,2.1035,2.1035,0.7,56.662,49.394,3.6754,9.0289,8.5323,0.6357,0.6357,22608.52,5883.64,5883.64,750376.7788,195278.0116,0
104,920021.BJ,20260210,16.25,41.6849,47.7941,1.54,,,8.0361,7.7842,11.7081,,,30899.9983,23284.2634,20307.9842,502124.9724,378369.2803,0
105,300616.SZ,20260210,14.94,1.9535,2.249,0.75,,,1.0663,0.8853,0.93,5.5876,5.5876,22451.598,15500.8242,13463.9713,335426.8741,231582.3135,0
106,300561.SZ,20260210,13.13,6.8176,11.5553,0.94,,,7.1811,47.9559,44.8307,0.2666,0.2666,32810.7975,24105.7574,14222.2872,430805.7712,316508.5947,0
107,688227.SH,20260210,66.95,1.4958,2.5688,0.82,,,5.8459,14.5556,13.8822,,,11305.5275,11305.5275,6583.0981,756905.0661,756905.0661,0
108,002826.SZ,20260210,20.8,7.2341,9.6658,0.77,86.3532,46.1858,4.9444,6.0841,6.3152,0.4722,0.4722,19067.775,17432.6389,13047.0506,396609.72,362598.8891,0
109,002027.SZ,20260210,7.48,1.3851,2.0552,1.58,20.9543,19.9026,7.5538,8.8099,8.5686,5.0802,5.0802,1444219.9726,1444219.9726,973320.6673,10802765.395,10802765.395,0
110,688092.SH,20260210,30.81,1.3666,2.9043,0.57,38.0067,46.99,3.924,5.6408,5.5693,0.9088,0.9088,8266.374,8266.374,3889.7365,254686.9829,254686.9829,0
111,002121.SZ,20260210,8.6,3.3685,4.4561,1.02,,,19.2886,3.2234,2.7944,,,166081.6688,139992.2404,105823.7113,1428302.3517,1203933.2674,0
112,002282.SZ,20260210,7.84,0.9014,1.3271,0.56,21.5411,22.616,1.1411,2.4565,2.419,2.551,2.551,52683.8348,50500.7638,34302.1547,413041.2648,395925.9882,0
113,001223.SZ,20260210,60.08,1.3632,5.4496,0.75,163.5734,82.5418,2.8785,12.9089,6.6068,0.1783,0.1783,9335.2,9335.2,2335.2,560858.816,560858.816,0
114,300460.SZ,20260210,8.78,1.9692,2.4524,0.95,,,4.4169,4.4732,4.6475,,,28080.4251,28080.4251,22547.6871,246546.1324,246546.1324,0
115,000638.SZ,20260210,1.9,18.2133,25.7599,68.11,55.5442,,4.2413,1.5113,1.2929,,,31138.6551,31014.5601,21928.5601,59163.4447,58927.6642,1
116,002069.SZ,20260210,4.1,2.6846,4.6483,0.93,,,160.8892,1.8423,1.9447,,,71111.2194,71021.6194,41017.2164,291555.9995,291188.6395,0
117,300099.SZ,20260210,8.18,3.6063,4.3535,0.83,63.4303,63.0037,2.6382,10.0685,10.4919,2.7995,2.7995,73726.5255,58141.224,48161.8727,603082.9786,475595.2123,0
118,301051.SZ,20260210,20.0,1.0755,1.5524,0.56,,,1.8413,2.4066,2.3088,0.2083,0.2083,20304.3456,16100.7966,11154.6146,406086.912,322015.932,0
119,603109.SH,20260210,26.22,0.8133,2.0336,1.01,28.2707,24.014,2.7537,1.9986,1.775,1.1271,1.1271,20884.836,20884.836,8352.636,547600.3999,547600.3999,0
120,002873.SZ,20260210,10.61,4.0714,5.7082,1.01,49.4992,345.1389,2.0501,3.0202,3.4289,0.9085,0.5451,24410.3806,23866.8821,17023.3255,258994.1382,253227.6191,0
121,688190.SH,20260210,106.25,1.0731,3.0076,0.65,35.3205,36.6451,4.9333,6.7097,6.472,0.8753,1.3459,12000.0,12000.0,4281.6052,1275000.0,1275000.0,0
122,920139.BJ,20260210,21.37,1.343,2.405,0.83,,,5.3775,20.8465,18.1837,,,26950.7392,25832.2218,14425.5842,575937.2967,552034.5799,0
123,002310.SZ,20260210,2.4,1.8535,2.9131,1.64,,,9.3715,16.4198,41.3029,,,599932.2117,419904.9717,267168.7639,1439837.3081,1007771.9321,0
124,300415.SZ,20260210,26.28,1.6163,2.3195,1.23,20.2565,17.8016,3.9488,2.4321,2.1621,1.8662,1.8662,46856.2084,45309.2139,31572.62,1231381.1568,1190726.1413,0
125,002569.SZ,20260210,13.81,1.0182,1.2013,0.94,,,68.9317,15.0329,16.6295,,,14401.0,13995.6425,11862.2665,198877.81,193279.8229,0
126,600279.SH,20260210,5.46,0.8424,2.4378,1.01,12.2503,12.8947,0.962,1.4805,1.5427,0.7326,0.7326,118686.6283,118686.6283,41013.9003,648028.9905,648028.9905,0
127,002682.SZ,20260210,7.22,7.4738,10.542,0.88,,,3.77,1.3531,1.7358,,,56236.8594,56236.0194,39868.7379,406030.1249,406024.0601,0
128,600802.SH,20260210,6.43,2.0177,2.9196,0.7,,,2.6617,1.6979,1.7024,,,45824.84,45824.84,31669.4293,294653.7212,294653.7212,0
129,300805.SZ,20260210,14.83,15.876,22.5564,1.07,448.3087,151.6011,4.0318,2.7527,2.5321,0.1348,0.1348,42444.2152,28835.1352,20295.2402,629447.7114,427625.055,0
130,300520.SZ,20260210,48.48,13.4332,17.0626,0.88,,,8.0012,7.4514,8.585,,,29203.1018,27800.8433,21887.1999,1415766.3753,1347784.8832,0
131,002997.SZ,20260210,35.08,1.1479,1.9589,0.75,20.9609,16.2207,3.0196,3.0289,2.2233,1.2828,1.2828,20932.1325,20932.1325,12266.7525,734299.2081,734299.2081,0
132,002170.SZ,20260210,12.96,2.7903,3.062,0.59,30.6522,14.0643,3.5706,3.7853,2.675,3.3871,3.3871,96766.9957,78458.9525,71495.94,1254100.2643,1016828.0244,0
133,300075.SZ,20260210,15.21,2.1499,2.2463,1.19,,,2.7105,13.244,17.6129,,,62113.0158,51543.8476,49332.2232,944738.9703,783981.922,0
134,000901.SZ,20260210,26.68,4.9145,7.5498,0.57,1734.7128,180.487,4.9283,3.0874,3.5489,,,79820.1406,79819.3381,51957.9676,2129601.3512,2129579.9405,0
135,300264.SZ,20260210,8.79,20.9698,22.1705,1.44,,,389.2074,25.3914,22.8924,,,43085.7518,37042.8953,35036.6512,378723.7583,325607.0497,0
136,688456.SH,20260210,62.65,3.9834,6.2543,0.79,109.3639,91.8785,5.2049,2.0113,1.746,0.3192,0.3192,10366.0,10366.0,6602.2,649429.9,649429.9,0
137,300829.SZ,20260210,18.25,1.724,1.7919,0.64,110.6331,60.9803,1.7166,2.7553,2.5945,0.2264,0.2264,22727.5107,15824.4431,15224.4431,414777.0703,288796.0866,0
138,000970.SZ,20260210,13.85,1.8031,2.3901,0.78,1402.2411,116.6135,2.5867,2.4942,2.5439,0.143,0.143,121572.5773,121572.5773,91714.4624,1683780.1956,1683780.1956,0
139,600692.SH,20260210,8.06,2.6886,2.8877,0.71,446.0431,,3.0663,4.294,5.7097,,,35176.4064,25501.0517,23742.2313,283521.8356,205538.4767,0
140,603113.SH,20260210,7.12,1.2271,2.4353,0.57,,,0.7502,0.3714,0.3594,4.9828,4.9828,84849.0616,84849.0616,42753.5872,604125.3186,604125.3186,0
141,688237.SH,20260210,48.98,1.0095,2.2633,0.93,338.2585,1063.1787,3.6221,10.8841,10.831,0.6838,0.6838,8968.1952,8968.1952,3999.8943,439262.2009,439262.2009,0
142,000821.SZ,20260210,15.44,14.3876,18.7072,1.42,22.4287,34.2751,2.2439,1.1025,1.2814,0.4534,0.4534,62287.4778,60465.0764,46503.138,961718.6572,933580.7796,-1
143,002782.SZ,20260210,21.49,1.4252,3.4369,0.47,46.3042,34.3633,4.9716,2.2709,1.9341,0.6871,0.6871,49596.4013,48650.12,20174.4005,1065826.6639,1045491.0788,0
144,920116.BJ,20260210,108.37,2.1887,7.587,0.91,203.7651,177.2847,31.5637,60.0487,55.1944,0.0982,0.0982,15977.5,15347.5,4427.5,1731481.675,1663208.575,0
145,000567.SZ,20260210,5.87,0.6481,2.6415,0.96,34.7557,,2.1277,13.3194,24.7737,,,195459.2155,194990.2172,47843.5379,1147345.595,1144592.575,0
146,300402.SZ,20260210,22.08,1.6728,3.6852,0.63,79.6675,90.3294,3.6367,3.1947,3.8793,0.4076,0.4076,24679.0497,24361.8497,11058.3197,544913.4174,537909.6414,0
147,002849.SZ,20260210,18.84,5.7362,7.9334,1.29,123.5925,106.6233,3.0381,3.2038,2.5818,0.2123,0.2123,22063.4016,19356.732,13995.679,415674.4861,364680.8309,0
148,002358.SZ,20260210,7.7,7.8821,10.0393,0.55,80.7114,70.3077,2.1328,2.587,2.4469,0.2597,0.2597,92975.6977,92975.5702,72997.1487,715912.8723,715911.8905,0
