ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type
520570.SH,南方恒生科技ETF(QDII),恒生科技ETF南方,南方恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,20251029,20251117,L,SH,南方基金,交通银行股份有限公司,0.15,QDII
520580.SH,招商利安新兴亚洲精选ETF(QDII),新兴亚洲ETF,招商利安新兴亚洲精选交易型开放式指数证券投资基金(QDII),EMASIAUP.OTH,新交所新兴亚洲精选50指数,20250116,20250220,L,SH,招商基金,中国银行股份有限公司,0.4,QDII
520590.SH,鹏华恒生科技ETF(QDII),恒生科技ETF鹏华,鹏华恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,20251117,20251201,L,SH,鹏华基金,兴业银行股份有限公司,0.5,QDII
520600.SH,广发中证港股通汽车ETF,港股汽车ETF,广发中证港股通汽车产业主题交易型开放式指数证券投资基金,931239.CSI,中证港股通汽车产业主题指数,20241219,20241230,L,SH,广发基金,招商银行股份有限公司,0.5,纯境内
520620.SH,嘉实恒生消费ETF,港股通消费ETF,嘉实恒生消费交易型开放式指数证券投资基金,HSCGSI.HI,恒生消费指数,20250811,20250819,L,SH,嘉实基金,中国银行股份有限公司,0.5,纯境内
520630.SH,广发中证港股通互联网ETF,广发中证港股通互联网ETF,广发中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,20251126,,P,SH,广发基金,招商银行股份有限公司,,纯境内
520650.SH,南方中证港股通互联网ETF,港股通互联网ETF南方,南方中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,20251029,20251110,L,SH,南方基金,国泰海通证券股份有限公司,0.15,纯境内
520660.SH,南方中证国新港股通央企红利ETF,港股通央企红利ETF南方,南方中证国新港股通央企红利交易型开放式指数证券投资基金,931722CNY100.CSI,中证国新港股通央企红利人民币中间价指数,20240626,20240710,L,SH,南方基金,中信建投证券股份有限公司,0.5,纯境内
520670.SH,嘉实恒生港股通科技主题ETF,港股通科技ETF嘉实,嘉实恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20250804,20250819,L,SH,嘉实基金,广发证券股份有限公司,0.3,纯境内
520690.SH,博时恒生港股通创新药精选ETF,港股创新药精选ETF,博时恒生港股通创新药精选交易型开放式指数证券投资基金,HSSCPB.HI,恒生港股通创新药精选指数,20250723,20250801,L,SH,博时基金,华泰证券股份有限公司,0.5,纯境内
520700.SH,万家中证港股通创新药ETF,港股创新药ETF基金,万家中证港股通创新药交易型开放式指数证券投资基金,931250.CSI,中证港股通创新药指数,20240913,20241014,L,SH,万家基金,中国工商银行股份有限公司,0.5,纯境内
520720.SH,国泰中证港股通汽车产业主题ETF,香港汽车ETF,国泰中证港股通汽车产业主题交易型开放式指数证券投资基金,931239.CSI,中证港股通汽车产业主题指数,20250917,20250925,L,SH,国泰基金,宁波银行股份有限公司,0.5,纯境内
520770.SH,建信恒指港股通ETF,建信恒指港股通ETF,建信恒指港股通交易型开放式指数证券投资基金,HSISC.HI,恒指港股通指数,,,P,SH,建信基金,中国银行股份有限公司,,纯境内
520780.SH,华宝中证港股通汽车产业主题ETF,华宝中证港股通汽车产业主题ETF,华宝中证港股通汽车产业主题交易型开放式指数证券投资基金,931239.CSI,中证港股通汽车产业主题指数,,,P,SH,华宝基金,东方财富证券股份有限公司,,纯境内
520810.SH,易方达中证港股通高股息投资ETF,易方达中证港股通高股息投资ETF,易方达中证港股通高股息投资交易型开放式指数证券投资基金,930914.CSI,中证港股通高股息投资指数,,,P,SH,易方达基金,招商银行股份有限公司,,纯境内
520820.SH,汇添富恒指港股通ETF,汇添富恒指港股通ETF,汇添富恒指港股通交易型开放式指数证券投资基金,HSISC.HI,恒指港股通指数,20251119,,P,SH,汇添富基金,中国建设银行股份有限公司,,纯境内
520830.SH,沙特ETF,沙特ETF,华泰柏瑞南方东英沙特阿拉伯交易型开放式指数证券投资基金(QDII),FISAULM.OTH,富时沙特阿拉伯指数,20240705,20240716,L,SH,华泰柏瑞基金,招商银行股份有限公司,0.5,QDII
520840.SH,华安恒生港股通科技主题ETF,港股通恒生科技ETF,华安恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,20250814,20250825,L,SH,华安基金,中泰证券股份有限公司,0.5,纯境内
520860.SH,富国中证港股通科技ETF,港股通科技ETF富国,富国中证港股通科技交易型开放式指数证券投资基金,931573.CSI,中证港股通科技指数,20250716,20250725,L,SH,富国基金,中信证券股份有限公司,0.5,纯境内
520870.SH,易方达伊塔乌巴西IBOVESPAETF(QDII),巴西ETF,易方达伊塔乌巴西IBOVESPA交易型开放式指数证券投资基金(QDII),BOVESPA.OTH,巴西IBOVESPA指数,20251105,20251113,L,SH,易方达基金,招商银行股份有限公司,0.5,QDII
520880.SH,华宝恒生港股通创新药精选ETF,港股通创新药ETF,华宝恒生港股通创新药精选交易型开放式指数证券投资基金,HSSCPB.HI,恒生港股通创新药精选指数,20250627,20250707,L,SH,华宝基金,国信证券股份有限公司,0.5,纯境内
520890.SH,港红利,港股通红利低波ETF,华泰柏瑞恒生港股通高股息低波动交易型开放式指数证券投资基金,HSHYLV.HI,恒生港股通高股息低波动指数,20240904,20240920,L,SH,华泰柏瑞基金,广发证券股份有限公司,0.5,纯境内
520900.SH,广发中证国新港股通央企红利ETF,港股通红利ETF广发,广发中证国新港股通央企红利交易型开放式指数证券投资基金,931722.CSI,中证国新港股通央企红利指数,20240626,20240710,L,SH,广发基金,招商银行股份有限公司,0.5,纯境内
520920.SH,天弘恒生科技ETF,恒生科技ETF天弘,天弘恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,20250922,20250930,L,SH,天弘基金,平安银行股份有限公司,0.5,QDII
520940.SH,华安恒指港股通ETF,港股通恒生ETF,华安恒指港股通交易型开放式指数证券投资基金,HSISC.HI,恒指港股通指数,20250526,20250609,L,SH,华安基金,国信证券股份有限公司,0.5,纯境内
520950.SH,摩根恒生港股通50ETF,港股通50ETF摩根,摩根恒生港股通50交易型开放式指数证券投资基金,HSSC50.HI,恒生港股通50指数,20251029,20251125,L,SH,摩根基金,江苏银行股份有限公司,0.5,纯境内
520960.SH,嘉实恒指港股通ETF,恒指港股通ETF,嘉实恒指港股通交易型开放式指数证券投资基金,HSISC.HI,恒指港股通指数,20251022,20251031,L,SH,嘉实基金,国金证券股份有限公司,0.5,纯境内
520970.SH,嘉实中证港股通创新药ETF,港股通创新药ETF嘉实,嘉实中证港股通创新药交易型开放式指数证券投资基金,931250.CSI,中证港股通创新药指数,20250730,20250807,L,SH,嘉实基金,中国建设银行股份有限公司,0.5,纯境内
520980.SH,汇添富恒生港股通中国科技ETF,港股通科技30ETF,汇添富恒生港股通中国科技交易型开放式指数证券投资基金,HSSCT.HI,恒生港股通中国科技指数,20250618,20250702,L,SH,汇添富基金,兴业银行股份有限公司,0.5,纯境内
520990.SH,景顺长城中证国新港股通央企红利ETF,港股央企红利50ETF,景顺长城中证国新港股通央企红利交易型开放式指数证券投资基金,931722.CSI,中证国新港股通央企红利指数,20240626,20240710,L,SH,景顺长城基金,招商银行股份有限公司,0.5,纯境内
530000.SH,天弘上证50ETF,上证50ETF天弘,天弘上证50交易型开放式指数证券投资基金,000016.SH,上证50指数,20240904,20240913,L,SH,天弘基金,广发证券股份有限公司,0.5,纯境内
530050.SH,上证50ETF东财,上证50ETF东财,西藏东财上证50交易型开放式指数证券投资基金,000016.SH,上证50指数,20241118,20241204,L,SH,东财基金,中国工商银行股份有限公司,0.15,纯境内
530080.SH,天弘上证180ETF,上证180ETF天弘,天弘上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20250108,20250123,L,SH,天弘基金,国信证券股份有限公司,0.15,纯境内
530100.SH,易方达上证580ETF,上证580ETF易方达,易方达上证580交易型开放式指数证券投资基金,950580.CSI,上证580指数,20251010,20251022,L,SH,易方达基金,中国工商银行股份有限公司,0.15,纯境内
530180.SH,易方达上证180ETF,上证180ETF易方达,易方达上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20241218,20241226,L,SH,易方达基金,招商银行股份有限公司,0.15,纯境内
530280.SH,平安上证180ETF,上证180ETF指数基金,平安上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20250115,20250124,L,SH,平安基金,交通银行股份有限公司,0.15,纯境内
530300.SH,180指数,上证180ETF华泰柏瑞,华泰柏瑞上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20241230,20250110,L,SH,华泰柏瑞基金,中国农业银行股份有限公司,0.15,纯境内
530380.SH,易方达上证380ETF,上证380ETF易方达,易方达上证380交易型开放式指数证券投资基金,000009.SH,上证380指数,20250922,20250930,L,SH,易方达基金,中国银行股份有限公司,0.15,纯境内
530530.SH,华夏上证580ETF,上证580ETF华夏,华夏上证580交易型开放式指数证券投资基金,950580.CSI,上证580指数,20250820,20250829,L,SH,华夏基金,中国工商银行股份有限公司,0.15,纯境内
530580.SH,南方上证180ETF,上证180ETF南方,南方上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20241230,20250108,L,SH,南方基金,国泰海通证券股份有限公司,0.15,纯境内
530680.SH,兴业上证180ETF,上证180指数ETF基金,兴业上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20241225,20250108,L,SH,兴业基金,广发证券股份有限公司,0.15,纯境内
530800.SH,上180ETF,上证180ETF基金,银华上证180交易型开放式指数证券投资基金,000010.SH,上证180指数,20250117,20250127,L,SH,银华基金,中信证券股份有限公司,0.15,纯境内
530880.SH,银河上证国有企业红利ETF,红利ETF国企,银河上证国有企业红利交易型开放式指数证券投资基金,000151.SH,上证国有企业红利指数,20241030,20241112,L,SH,银河基金,广发证券股份有限公司,0.45,纯境内
551000.SH,博时上证AAA科创债ETF,科创债ETF博时,博时上证AAA科技创新公司债交易型开放式指数证券投资基金,950167.CSI,上证AAA科技创新公司债指数,20250710,20250717,L,SH,博时基金,中信银行股份有限公司,0.15,纯境内
551030.SH,鹏华上证AAA科创债ETF,科创债ETF鹏华,鹏华上证AAA科技创新公司债交易型开放式指数证券投资基金,950167.CSI,上证AAA科技创新公司债指数,20250710,20250717,L,SH,鹏华基金,中信证券股份有限公司,0.15,纯境内
551060.SH,中银上证AAA科创债ETF,科创债ETF中银,中银上证AAA科技创新公司债交易型开放式指数证券投资基金,950167.CSI,上证AAA科技创新公司债指数,20250917,20250924,L,SH,中银基金,浙商银行股份有限公司,0.15,纯境内
551300.SH,摩根上证AAA科技创新公司债ETF,科创债ETF摩根,摩根上证AAA科技创新公司债交易型开放式指数证券投资基金,950167.CSI,上证AAA科技创新公司债指数,20250917,20250924,L,SH,摩根基金,中信证券股份有限公司,0.15,纯境内
551500.SH,易方达中证AAA科技创新公司债ETF,易方达中证AAA科技创新公司债ETF,易方达中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250710,20250717,L,SH,易方达基金,兴业银行股份有限公司,0.15,纯境内
551510.SH,科创债ETF华泰柏瑞,科创债ETF华泰柏瑞,华泰柏瑞中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SH,华泰柏瑞基金,招商银行股份有限公司,0.15,纯境内
551520.SH,汇添富中证AAA科创债ETF,汇添富中证AAA科创债ETF,汇添富中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SH,汇添富基金,国泰海通证券股份有限公司,0.15,纯境内
551550.SH,华夏中证AAA科技创新公司债ETF,华夏中证AAA科技创新公司债ETF,华夏中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250710,20250717,L,SH,华夏基金,招商银行股份有限公司,0.15,纯境内
551560.SH,兴业中证AAA科技创新公司债ETF,兴业中证AAA科技创新公司债ETF,兴业中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SH,兴业基金,上海浦东发展银行股份有限公司,0.15,纯境内
551580.SH,泰康中证AAA科技创新公司债ETF,泰康中证AAA科技创新公司债ETF,泰康中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SH,泰康基金,上海浦东发展银行股份有限公司,0.15,纯境内
551800.SH,国泰中证AAA科技创新公司债ETF,国泰中证AAA科技创新公司债ETF,国泰中证AAA科技创新公司债交易型开放式指数证券投资基金,932160.CSI,中证AAA科技创新公司债指数,20250917,20250924,L,SH,国泰基金,兴业银行股份有限公司,0.15,纯境内
