ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market,total_mv,limit
920857.BJ,泓禧科技,20260107,36.0,37.6,35.01,37.28,35.82,4.0759,23787.89,87569.578,3.2143,7400.7152,重庆,元器件,北交所,275898.6627,N
920857.BJ,泓禧科技,20260106,36.93,37.72,35.5,35.82,35.63,0.5333,15719.57,56918.499,2.1241,7400.7152,重庆,元器件,北交所,265093.6185,N
920857.BJ,泓禧科技,20260105,35.13,35.98,34.53,35.63,35.39,0.6782,10826.24,38354.865,1.4629,7400.7152,重庆,元器件,北交所,263687.4826,N
920857.BJ,泓禧科技,20251231,36.2,37.3,34.33,35.39,36.5,-3.0411,20441.8,72728.157,2.7621,7400.7152,重庆,元器件,北交所,261911.3109,N
920857.BJ,泓禧科技,20251230,34.78,37.8,34.4,36.5,34.85,4.7346,20801.66,75350.692,2.8108,7400.7152,重庆,元器件,北交所,270126.1048,N
920857.BJ,泓禧科技,20251229,38.99,38.99,34.71,34.85,39.09,-10.8468,26826.08,96413.524,3.6248,7400.7152,重庆,元器件,北交所,257914.9247,N
920857.BJ,泓禧科技,20251226,36.05,40.4,35.86,39.09,36.58,6.8617,38142.12,144830.657,5.1538,7400.7152,重庆,元器件,北交所,289293.9572,N
920857.BJ,泓禧科技,20251225,36.13,37.8,35.91,36.58,36.49,0.2466,19629.87,72070.327,2.6524,7400.7152,重庆,元器件,北交所,270718.162,N
920857.BJ,泓禧科技,20251224,37.85,37.85,36.1,36.49,38.21,-4.5014,21926.03,80160.553,2.9627,7400.7152,重庆,元器件,北交所,270052.0976,N
920857.BJ,泓禧科技,20251223,35.13,39.6,35.13,38.21,35.42,7.8769,37449.8,141155.322,5.0603,7400.7152,重庆,元器件,北交所,282781.3278,N
920857.BJ,泓禧科技,20251222,36.17,37.63,35.31,35.42,36.51,-2.9855,17920.45,64637.35,2.4214,7400.7152,重庆,元器件,北交所,262133.3324,N
920857.BJ,泓禧科技,20251219,37.76,37.76,35.68,36.51,38.97,-6.3125,32474.34,119152.561,4.388,7400.7152,重庆,元器件,北交所,270200.112,N
920857.BJ,泓禧科技,20251218,33.98,39.2,33.31,38.97,33.99,14.6514,40072.74,142548.486,5.4147,7400.7152,重庆,元器件,北交所,288405.8713,N
920857.BJ,泓禧科技,20251217,33.37,35.03,32.88,33.99,33.67,0.9504,29784.94,100626.469,4.0246,7400.7152,重庆,元器件,北交所,251550.3096,N
920857.BJ,泓禧科技,20251216,37.18,37.18,33.37,33.67,37.66,-10.5948,35507.48,122526.433,4.7978,7400.7152,重庆,元器件,北交所,249182.0808,N
920857.BJ,泓禧科技,20251215,30.99,37.66,30.99,37.66,28.97,29.9965,49199.54,173039.557,6.6479,7400.7152,重庆,元器件,北交所,278710.9344,U
920857.BJ,泓禧科技,20251212,29.4,30.72,28.82,28.97,30.18,-4.0093,9387.27,27726.142,1.2684,7400.7152,重庆,元器件,北交所,214398.7193,N
920857.BJ,泓禧科技,20251211,30.0,30.98,29.03,30.18,29.39,2.688,10181.93,30541.923,1.3758,7400.7152,重庆,元器件,北交所,223353.5847,N
920857.BJ,泓禧科技,20251210,30.2,30.5,29.18,29.39,30.3,-3.0033,7260.18,21435.027,0.981,7400.7152,重庆,元器件,北交所,217507.0197,N
920857.BJ,泓禧科技,20251209,31.23,31.68,30.01,30.3,31.12,-2.635,9905.03,30330.256,1.3384,7400.7152,重庆,元器件,北交所,224241.6706,N
920857.BJ,泓禧科技,20251208,33.39,33.39,31.02,31.12,33.07,-5.8966,11674.36,37511.214,1.5775,7400.7152,重庆,元器件,北交所,230310.257,N
920857.BJ,泓禧科技,20251205,33.0,33.59,32.78,33.07,33.08,-0.0302,4929.87,16336.847,0.6661,7400.7152,重庆,元器件,北交所,244741.6517,N
920857.BJ,泓禧科技,20251204,33.39,33.79,33.08,33.08,33.58,-1.489,5689.88,18956.846,0.7688,7400.7152,重庆,元器件,北交所,244815.6588,N
920857.BJ,泓禧科技,20251203,33.48,34.36,33.08,33.58,34.03,-1.3224,8047.59,27054.192,1.0874,7400.7152,重庆,元器件,北交所,248516.0164,N
920857.BJ,泓禧科技,20251202,34.89,35.0,32.98,34.03,35.5,-4.1408,15138.86,51242.137,2.0456,7400.7152,重庆,元器件,北交所,251846.3383,N
920857.BJ,泓禧科技,20251201,34.43,36.77,33.68,35.5,34.38,3.2577,21335.68,75043.046,2.8829,7400.7152,重庆,元器件,北交所,262725.3896,N
920857.BJ,泓禧科技,20251128,34.94,34.95,33.66,34.38,34.81,-1.2353,8802.19,30178.682,1.1894,7400.7152,重庆,元器件,北交所,254436.5886,N
